test_trial,precision,recall,f1,model
82,0.655,0.9849624060150376,0.7867867867867868,lass_wo_poly_100p
83,0.6068965517241379,0.8148148148148148,0.6956521739130435,lass_wo_poly_100p
84,0.7956204379562044,0.7124183006535948,0.7517241379310345,lass_wo_poly_100p
85,0.75,0.14563106796116504,0.24390243902439024,lass_wo_poly_100p
86,0.7142857142857143,0.5909090909090909,0.6467661691542289,lass_wo_poly_100p
87,0.5333333333333333,0.10666666666666667,0.17777777777777778,lass_wo_poly_100p
88,0.6756756756756757,0.5319148936170213,0.5952380952380952,lass_wo_poly_100p
89,0.7727272727272727,0.75,0.7611940298507464,lass_wo_poly_100p
90,0.8125,0.16883116883116883,0.2795698924731183,lass_wo_poly_100p
91,0.4631578947368421,0.9777777777777777,0.6285714285714286,lass_wo_poly_100p
92,0.6470588235294118,0.908256880733945,0.7557251908396947,lass_wo_poly_100p
93,0.3333333333333333,0.30985915492957744,0.32116788321167883,lass_wo_poly_100p
94,0.695364238410596,0.75,0.7216494845360826,lass_wo_poly_100p
95,0.5747126436781609,0.4672897196261682,0.5154639175257731,lass_wo_poly_100p
96,0.759493670886076,0.6122448979591837,0.6779661016949152,lass_wo_poly_100p
97,0.6851851851851852,0.4805194805194805,0.5648854961832062,lass_wo_poly_100p
98,0.6608187134502924,0.875968992248062,0.7533333333333334,lass_wo_poly_100p
99,0.4748201438848921,0.7674418604651163,0.5866666666666667,lass_wo_poly_100p
0,0.7,0.525,0.6,ela_wo_poly_100p
1,0.4759036144578313,0.8586956521739131,0.6124031007751939,ela_wo_poly_100p
2,0.7142857142857143,0.11627906976744186,0.2,ela_wo_poly_100p
3,0.3875,0.5081967213114754,0.4397163120567376,ela_wo_poly_100p
4,0.6946564885496184,0.7459016393442623,0.7193675889328064,ela_wo_poly_100p
5,0.6333333333333333,0.475,0.5428571428571427,ela_wo_poly_100p
6,0.7052631578947368,0.536,0.6090909090909091,ela_wo_poly_100p
7,0.6271186440677966,0.37373737373737376,0.46835443037974683,ela_wo_poly_100p
8,0.6941176470588235,0.9007633587786259,0.7840531561461793,ela_wo_poly_100p
9,0.6875,0.38372093023255816,0.49253731343283585,ela_wo_poly_100p
10,0.6493506493506493,0.8547008547008547,0.7380073800738007,ela_wo_poly_100p
11,0.75,0.16666666666666666,0.27272727272727276,ela_wo_poly_100p
12,0.656084656084656,0.9465648854961832,0.775,ela_wo_poly_100p
13,0.6190476190476191,0.21666666666666667,0.32098765432098764,ela_wo_poly_100p
14,0.575,0.711340206185567,0.6359447004608295,ela_wo_poly_100p
15,0.7872340425531915,0.6115702479338843,0.6883720930232557,ela_wo_poly_100p
16,0.572289156626506,0.8715596330275229,0.6909090909090909,ela_wo_poly_100p
17,0.5833333333333334,0.14583333333333334,0.23333333333333336,ela_wo_poly_100p
18,0.524822695035461,0.7789473684210526,0.6271186440677967,ela_wo_poly_100p
19,0.7450980392156863,0.304,0.4318181818181818,ela_wo_poly_100p
20,0.6684491978609626,0.9765625,0.7936507936507937,ela_wo_poly_100p
21,0.4233576642335766,0.7532467532467533,0.5420560747663552,ela_wo_poly_100p
22,0.5974842767295597,0.8636363636363636,0.7063197026022304,ela_wo_poly_100p
23,0.680327868852459,0.6859504132231405,0.6831275720164609,ela_wo_poly_100p
24,0.7727272727272727,0.875,0.8206896551724138,ela_wo_poly_100p
25,0.4672897196261682,0.7246376811594203,0.5681818181818182,ela_wo_poly_100p
26,0.7203389830508474,0.625,0.6692913385826772,ela_wo_poly_100p
27,0.8181818181818182,0.3253012048192771,0.46551724137931033,ela_wo_poly_100p
28,0.625,0.5392156862745098,0.5789473684210527,ela_wo_poly_100p
29,0.5165562913907285,0.8041237113402062,0.6290322580645161,ela_wo_poly_100p
30,0.6121212121212121,0.9439252336448598,0.7426470588235293,ela_wo_poly_100p
31,0.5555555555555556,0.06493506493506493,0.11627906976744184,ela_wo_poly_100p
32,0.7410714285714286,0.7345132743362832,0.7377777777777778,ela_wo_poly_100p
33,0.5868263473053892,0.8990825688073395,0.7101449275362319,ela_wo_poly_100p
34,0.631578947368421,0.2727272727272727,0.38095238095238093,ela_wo_poly_100p
35,0.5273972602739726,0.7777777777777778,0.6285714285714286,ela_wo_poly_100p
36,0.43915343915343913,0.9651162790697675,0.6036363636363636,ela_wo_poly_100p
37,0.23529411764705882,0.04819277108433735,0.08,ela_wo_poly_100p
38,0.7862068965517242,0.8201438848920863,0.8028169014084507,ela_wo_poly_100p
39,0.7419354838709677,0.25555555555555554,0.38016528925619836,ela_wo_poly_100p
40,0.43703703703703706,0.6629213483146067,0.5267857142857143,ela_wo_poly_100p
41,0.7674418604651163,0.2727272727272727,0.40243902439024387,ela_wo_poly_100p
42,0.6405228758169934,0.7716535433070866,0.7,ela_wo_poly_100p
43,0.5838509316770186,0.8623853211009175,0.6962962962962963,ela_wo_poly_100p
