,mkt_cap,PB_ratio,ROE,Asset_growth
HSIC,11508530176,3.3540921,0.11036000400000001,0.08690004518185379
HSY,36855640064,16.334864,0.71300006,0.1217938441562112
HES,25787078656,4.5633664,0.02,-0.13593793040124869
HPE,19288586240,1.1631753,0.06196000000000001,0.04270022971642562
HLT,39320645632,-26.46073152,0.4798657718120805,0.12021127231396678
HOLX,18377029632,4.842674,0.66317004,0.11699601061765574
HD,358828998656,205.65509,18.418129,0.37756655476617995
HON,151670194176,8.432576,0.27637,0.10066633719047702
HRL,22409381888,3.3341398,0.13194,0.2218864363613584
HST,11629236224,1.8924508,-0.13271000000000002,0.04754164973587982
HWM,13951202304,3.900252345540956,0.03263,-0.3484227308962533
HPQ,33695342592,-15.123583436983843,-1.2764811490125674,0.03627453909821621
HUM,52103593984,3.671855,0.28043,0.20275847836555005
HBAN,23588489216,1.4883505,0.10257000000000001,0.12876827948111047
HII,8161524224,4.1309795,0.39946997,0.16014791637035986
IEX,16236325888,6.229933,0.17016001,0.1574462127075822
IDXX,53130731520,75.68149,1.4255201,0.25216496814417666
INFO,50751815680,5.4917693,0.07298,0.0029837386244964126
ITW,67993817088,20.767004,0.7964,0.03610299973453679
ILMN,58991296512,11.985346,0.13184,0.036768726079825065
INCY,14437945344,5.2917943,0.12788000000000002,0.03915313343547089
IR,21685719040,2.4206388,0.043270003,2.469579120214329
INTC,218778845184,2.741348,0.22193001,0.12134862734757257
ICE,71133626368,3.564781,0.14754,0.33554866498047464
IBM,126710497280,5.9240537,0.24530001,0.024870881684254886
IP,21255757824,2.7395737000000002,0.14792000000000002,-0.05237369663290614
IPG,14838142976,5.160761,0.25925000000000004,0.016381345095454636
IFF,34403098624,2.3425455,0.01017,0.0201890345681337
INTU,146939559936,14.769555,0.28948998,0.7397739933152951
ISRG,40063852544,3.94538,0.12668000000000001,0.14750544528007237
IVZ,11707012096,1.1110139,0.09961,-0.07397711331471346
IPGP,8487756288,3.2606637,0.06418,0.07517627221440093
IQV,46730784768,7.8474417,0.10850999500000001,0.056470689432712495
IRM,12691822592,11.148871,0.29433000000000004,0.02406133222010043
JKHY,12217626624,9.29874,0.21712999,-0.038014819182746074
J,17559492608,2.9987177805705136,0.06781000000000001,0.0777863107601684
JBHT,18286366720,6.7177796,0.23055000000000003,0.08362387298217056
SJM,13200632832,1.6246632,0.096049994,-0.04043511054542026
JNJ,424872771584,6.452051,0.26806,0.10883292757151541
JCI,50377900032,2.8465556999999997,0.1014,-0.034809752406176786
JPM,514879422464,2.0665314,0.17365000000000003,0.25999012420652234
JNPR,9383195648,2.1160383,0.047040000000000005,0.061169761363250696
KSU,25696952320,6.0603914,0.02977,0.01810602035394604
K,21488703488,6.8478737,0.37425,0.024595764062855796
KEY,22030782464,1.4032269,0.13194999,0.17482826164924004
KEYS,30071209984,8.492716,0.22655001,0.089838441793749
KMB,45114658816,87.15775,5.84596,0.14656808218281747
KIM,9453741056,1.6692178,0.07403999600000001,0.05606823577699194
KMI,38361989120,1.1918666,0.05612,-0.02945102957239365
KLAC,50598387712,16.252277,0.6859700000000001,0.10680692589192198
KHC,45354401792,0.9017729999999999,0.0438,-0.01596845736816166
KR,29546000384,3.2014914,0.16371000000000002,0.07526073890754814
LHX,47277510656,2.2303236,0.07085000000000001,-0.035893155258764575
LH,27287609344,2.7257023,0.30958,0.11222736944764611
LRCX,79270494208,14.756153,0.6984300000000001,0.21311915934671588
LW,8513612288,18.84715,0.88204,-0.09714089612423049
LVS,28358379520,10.608745,-0.53995997,-0.10310789258157682
LEG,6071427584,4.1707854,0.21605000000000002,-0.012955734573540378
LDOS,13778408448,3.584219,0.19103001,0.33564641827692965
